Artist Name;Popularity;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;Class
Bring Me The Horizon;69.0;0.589;0.797;-5.464;0.15;0.0289;4.35e-06;0.383;0.232;102.489;10
Frost*;38.0;0.443;0.858;-6.935;0.0378;0.000843;0.00243;0.18;0.34;169.951;8
Toto Espinoza;41.0;0.605;0.162;-12.932;0.0353;0.98;0.899;0.104;0.126;95.576;7
T-Bone Walker;30.0;0.624;0.26;-11.64;0.0621;0.904;0.0263;0.0825;0.551;51.0;2
K. J. Yesudas;7.0;0.513;0.658;-7.185;0.0622;0.512;;0.21;0.698;145.896;3
Jimi Hendrix;71.0;0.533;0.905;-5.27;0.0754;0.00876;0.578;0.0698;0.486;108.9;10
Lowest Creature;23.0;0.487;0.975;-4.974;0.105;7.47e-05;0.0183;0.201;0.526;139.964;8
Neon Trees;66.0;0.482;0.829;-5.576;0.0437;0.00034;;0.378;0.739;147.99;10
JJ Lin;69.0;0.369;0.424;-5.431;0.0318;0.64;;0.184;0.181;179.597;9
Foreign Air;50.0;0.552;0.673;-4.9;0.0298;0.00553;;0.114;0.174;89.993;6
S. P. Balasubrahmanyam;34.0;0.548;0.347;-14.7;0.0362;0.771;0.00175;0.124;0.498;117.75;3
Scary Kids Scaring Kids;49.0;0.421;0.935;-5.153;0.0697;0.000442;0.000212;0.1;0.455;165.02;10
Lawrence of Arcadia;30.0;0.524;0.336;-8.034;0.0415;0.841;0.00118;0.111;0.458;110.964;0
Nirvana;65.0;0.436;0.876;-4.902;0.0647;3.33e-05;0.000104;0.205;0.512;157.044;1
Berry Sakharof;17.0;0.5;0.47;-7.996;0.0345;0.642;0.0511;0.276;0.346;158.809;10
Breezie 311;32.0;0.705;0.756;-5.274;0.0415;0.00477;;0.0892;0.846;129.98;10
Ghali;41.0;0.825;0.781;-4.732;0.107;0.0833;3.55e-05;0.26;0.812;100.013;9
Gwar;48.0;0.657;0.535;-9.715;0.047;0.000329;0.000492;0.318;0.738;132.257;8
Downset;42.0;0.58;0.93;-5.719;0.12;0.0128;;0.102;0.534;97.917;8
Blue Material;37.0;0.621;0.602;-7.796;0.0279;0.000316;0.853;0.134;0.609;116.011;6
Sempra;19.0;0.754;0.92;-4.484;0.05;0.183;0.689;0.187;0.966;147.998;1
Malcolm McLaren;41.0;0.881;0.636;-13.617;0.156;0.0257;0.000257;0.207;0.616;108.863;5
Arcade Fire;58.0;0.282;0.932;-4.701;0.0387;0.12;0.0335;0.0692;0.536;190.08;10
Bad Nerves;32.0;0.449;0.958;-6.602;0.123;5.33e-06;0.000116;0.148;0.389;107.458;6
3 Doors Down;37.0;0.548;0.709;-6.557;0.0273;0.00678;3.82e-06;0.104;0.191;119.998;10
ARXX;33.0;0.65;0.6;-10.615;0.04;0.0278;0.00121;0.811;0.795;110.016;10
Crown Lands;39.0;0.494;0.969;-2.694;0.222;0.172;0.00158;0.148;0.165;121.214;10
The Undercover Dream Lovers;42.0;0.761;0.707;-6.208;0.0356;0.68;0.421;0.0969;0.893;113.976;6
A Scent Like Wolves;39.0;0.553;0.939;-4.04;0.0795;0.000833;0.000181;0.404;0.369;124.984;8
Otis Junior;30.0;0.824;0.489;-5.669;0.0692;0.302;;0.0887;0.771;86.815;1
Madhav Gopi Nair;17.0;0.349;0.336;-11.111;0.0292;0.723;0.913;0.154;0.062;112.966;6
The Sequence;24.0;0.921;0.768;-5.735;0.311;0.507;0.000738;0.053;0.775;103.713;5
Advaita;33.0;0.601;0.728;-10.469;0.0436;0.378;0.726;0.368;0.862;137.99;0
John Campbell;30.0;0.353;0.495;-11.503;0.0344;0.000119;0.0119;0.13;0.567;81.018;2
Dan + Shay;79.0;0.748;0.551;-6.12;0.0349;0.235;;0.119;0.66;103.953;4
Gymshorts;23.0;0.15;0.843;-8.369;0.0439;0.000127;0.502;0.665;0.729;180.034;1
Liz Phair;47.0;0.774;0.64;-7.949;0.0333;0.743;0.0316;0.088;0.947;136.226;1
Stephen Taranto;28.0;0.373;0.964;-7.925;0.0798;0.000152;0.791;0.109;0.207;83.958;8
Deep Purple;43.0;0.42;0.831;-9.069;0.0754;0.00028;0.0711;0.153;0.752;120.867;10
Loyle Carner;60.0;0.428;0.98;-2.975;0.443;0.0734;;0.127;0.423;92.035;5
Nickelback;70.0;0.616;0.91;-3.004;0.0386;0.0459;;0.343;0.693;144.072;10
Post Malone;90.0;0.797;0.631;-3.818;0.0786;0.0904;3.71e-06;0.0998;0.288;129.915;9
Olivia Rodrigo;99.0;0.563;0.664;-5.044;0.154;0.335;;0.0849;0.688;166.928;9
Rema;59.0;0.463;0.847;-6.776;0.0511;0.0307;;0.117;0.625;114.962;9
Charlie Puth;75.0;0.749;0.535;-6.785;0.0336;0.0131;3.65e-05;0.0982;0.601;123.042;9
Ulver;33.0;0.283;0.41;-14.35;0.0423;0.00106;0.287;0.109;0.0612;91.127;10
Alien Ant Farm;75.0;0.653;0.964;-4.261;0.0582;0.00316;0.00512;0.144;0.87;126.928;9
Live;57.0;0.45;0.914;-6.741;0.0647;0.0106;8.18e-05;0.101;0.336;124.42;10
Something Corporate;51.0;0.522;0.881;-5.231;0.0847;0.00303;0.000147;0.0939;0.369;130.084;10
Buzzcocks;64.0;0.266;0.831;-9.07;0.0453;0.000862;;0.0555;0.778;175.514;10
Enamour;32.0;0.754;0.795;-9.793;0.0384;0.0186;0.906;0.0852;0.21;122.007;9
mehro;52.0;0.562;0.494;-8.13;0.0278;0.864;0.0259;0.153;0.383;144.104;9
Mark Ronson;48.0;0.823;0.66;-4.698;0.103;0.00681;2.7e-05;0.269;0.956;114.489;9
Rosie Flores;38.0;0.65;0.63;-6.787;0.04;0.278;8.55e-05;0.119;0.74;107.69;2
Ayron Jones;57.0;0.475;0.844;-4.448;0.0622;0.00012;0.111;0.221;0.554;156.136;10
Dream Drop;35.0;0.375;0.927;-5.385;0.123;0.000111;8.99e-06;0.193;0.414;183.998;8
Langston Hughes;10.0;0.713;0.146;-14.163;0.54;0.784;;0.212;0.474;89.267;5
Abby Wolfe;40.0;0.676;0.537;-7.974;0.0333;0.51;;0.0898;0.388;88.001;9
Eagles;72.0;0.667;0.755;-7.246;0.069;0.0966;6.94e-05;0.0523;0.883;109.535;10
Die Apokalyptischen Reiter;34.0;0.408;0.943;-5.247;0.129;0.0058;0.642;0.343;0.16;98.089;8
Icon of Sin;33.0;0.494;0.958;-7.765;0.0511;0.0361;0.000226;0.387;0.313;145.055;8
Spirit Adrift;32.0;0.425;0.925;-6.246;0.105;2.22e-05;0.0723;0.0973;0.313;118.066;8
Eric B. & Rakim;48.0;0.586;0.795;-8.71;0.258;0.354;;0.187;0.694;94.101;5
The Rapture;52.0;0.472;0.826;-3.938;0.0594;0.000617;0.000713;0.187;0.132;122.326;10
A Day To Remember;64.0;0.349;0.981;-3.228;0.141;2.58e-05;;0.343;0.207;160.042;10
Morgan Evans;58.0;0.645;0.732;-5.089;0.0453;0.00853;2.62e-05;0.198;0.708;95.02;4
Wilco;39.0;0.621;0.962;-6.469;0.0454;0.282;0.126;0.132;0.653;143.99;6
DOECHII;71.0;0.597;0.617;-7.482;0.282;0.463;;0.66;0.889;97.923;9
Brothers Osborne;61.0;0.614;0.614;-7.497;0.0314;0.104;3.59e-05;0.104;0.598;146.03;4
Zero 9:36;51.0;0.613;0.86;-4.065;0.0425;0.0247;;0.438;0.638;93.042;10
Róisín O;47.0;0.349;0.0929;-15.315;0.0529;0.944;;0.0864;0.293;176.177;0
DIIV;43.0;0.484;0.754;-6.326;0.0383;0.00011;0.806;0.123;0.399;124.971;10
The Swellers;49.0;0.359;0.983;-3.69;0.0864;9.09e-05;3.54e-05;0.335;0.486;193.042;10
Emery;46.0;0.274;0.915;-5.259;0.167;0.0139;7.37e-05;0.161;0.419;169.161;10
Lionel Richie;22.0;0.439;0.682;-9.044;0.042;0.113;1.1e-05;0.973;0.345;142.113;9
Foo Fighters;73.0;0.577;0.604;-5.703;0.0495;0.000218;0.000579;0.477;0.637;167.719;10
Gucci Mane;43.0;0.811;0.46;-5.924;0.351;0.0694;;0.13;0.4;141.937;5
Concha Piquer;35.0;0.658;0.12;-9.397;0.136;0.983;;0.101;0.278;104.208;9
Supergrass;53.0;0.282;0.648;-7.604;0.0291;0.012;0.401;0.216;0.117;91.536;1
The New Respects;43.0;0.516;0.7;-5.621;0.0631;0.0182;;0.689;0.343;147.914;10
Julia Jacklin;48.0;0.471;0.811;-3.956;0.0389;0.000125;4.08e-05;0.117;0.37;141.967;6
Little G Weevil;37.0;0.692;0.102;-11.721;0.061;0.818;0.00328;0.337;0.475;114.136;2
Lazy Queen;17.0;0.415;0.774;-6.445;0.041;0.00403;;0.205;0.466;87.415;10
No Somos Marineros;33.0;0.483;0.603;-9.907;0.0386;0.348;0.878;0.0911;0.0907;179.392;10
Ghost Town Blues Band;33.0;0.799;0.73;-6.648;0.0414;0.29;9.74e-05;0.975;0.898;120.336;2
Amaranthe;60.0;0.407;0.967;-7.104;0.0666;0.000316;0.00142;0.089;0.227;180.027;8
Acollective;37.0;0.412;0.51;-8.276;0.0298;0.348;0.57;0.0787;0.23;147.904;6
No Memories of Tomorrow;8.0;0.579;0.304;-14.271;0.0301;0.751;0.0612;0.129;0.479;129.867;0
The All-American Rejects;68.0;0.553;0.717;-5.857;0.0318;6.48e-05;0.128;0.0385;0.318;127.947;9
Nattali Rize;41.0;0.845;0.681;-4.693;0.111;0.265;;0.0519;0.654;86.001;10
Apoorva Krishna;13.0;0.293;0.877;-4.172;0.0486;0.0849;0.392;0.0787;0.87;171.47;6
Ronnie Robinson Trio;38.0;0.674;0.335;-13.903;0.0444;0.885;0.914;0.101;0.662;168.741;7
Tay Money;65.0;0.908;0.663;-4.032;0.359;0.0163;;0.287;0.399;119.983;5
Allegaeon;35.0;0.556;0.969;-3.778;0.0402;0.000119;0.829;0.378;0.325;103.994;8
Quami;17.0;0.694;0.907;-3.854;0.0458;0.0765;6.2e-05;0.13;0.573;114.98;5
Oasis;56.0;0.247;0.913;-2.437;0.0388;0.0418;0.00839;0.257;0.34;91.157;6
Ghost Iris;43.0;0.489;0.994;-2.236;0.113;2.05e-05;0.00683;0.333;0.218;90.015;8
Slowdive;60.0;0.276;0.449;-11.428;0.0375;0.00782;0.783;0.108;0.278;101.687;6
Billie Eilish;77.0;0.849;0.48;-5.835;0.226;0.612;0.269;0.295;0.677;142.021;9
Garbage;18.0;0.484;0.956;-6.388;0.0357;2.59e-05;0.705;0.257;0.643;145.004;10
Britney Spears;40.0;0.59;0.776;-5.272;0.0705;0.00705;1.69e-05;0.414;0.81;159.946;9
Ruff Sqwad;37.0;0.737;0.649;-7.709;0.142;0.816;0.147;0.201;0.579;139.961;5
Manal;34.0;0.528;0.563;-6.975;0.041;0.706;0.0155;0.149;0.652;168.403;2
The Black Keys;67.0;0.365;0.466;-7.514;0.0418;0.161;6.68e-06;0.106;0.487;95.163;10
Noah Cyrus;83.0;0.708;0.186;-8.953;0.042;0.868;;0.0779;0.322;72.541;9
Tomberlin;55.0;0.765;0.563;-9.765;0.0397;0.422;0.122;0.142;0.703;93.073;6
The Yardbirds;46.0;0.529;0.861;-10.581;0.0784;0.292;0.225;0.314;0.387;96.52;6
Wolfmother;60.0;0.191;0.948;-3.496;0.217;2.78e-05;0.0864;0.0945;0.215;150.753;10
Led Zeppelin;56.0;0.339;0.34;-14.377;0.0385;0.657;0.459;0.375;0.117;142.362;10
Hollow Front;48.0;0.534;0.979;-3.645;0.0987;0.00292;;0.256;0.236;119.993;10
The Beatles;72.0;0.49;0.715;-5.549;0.0476;0.386;;0.311;0.866;130.726;10
Beloved;30.0;0.361;0.954;-4.097;0.0575;2,00E-05;0.223;0.309;0.176;172.944;10
The Cult;69.0;0.55;0.765;-8.684;0.0287;4.76e-06;0.873;0.132;0.419;139.46;10
Carach Angren;39.0;0.57;0.916;-6.899;0.043;0.00439;0.138;0.135;0.359;100.041;8
Damien;49.0;0.375;0.0412;-21.749;0.0444;0.995;0.96;0.107;0.127;100.74;5
Fleshkiller;20.0;0.45;0.977;-4.172;0.122;4.26e-06;0.532;0.414;0.256;130.009;8
Robert Counts;52.0;0.533;0.589;-6.14;0.0299;0.0405;;0.111;0.351;140.049;10
Edgar Winter's White Trash;16.0;0.695;0.864;-9.509;0.0344;0.0935;;0.222;0.962;129.613;2
Julia Kent;31.0;0.479;0.325;-14.01;0.0333;0.161;0.752;0.104;0.222;132.046;1
Michael Chapman;33.0;0.551;0.58;-8.581;0.0363;0.493;0.0559;0.213;0.473;63.321;2
"Arthur ""Big Boy"" Crudup";30.0;0.621;0.118;-14.222;0.0393;0.993;0.000878;0.12;0.474;93.082;2
Big Brother & The Holding Company;69.0;0.443;0.727;-7.951;0.145;0.263;0.000141;0.169;0.566;160.82;10
Timothy Kay Band;51.0;0.445;0.159;-14.159;0.0419;0.924;0.865;0.113;0.155;68.868;7
Cody Johnson;54.0;0.546;0.351;-8.279;0.0271;0.701;3.14e-06;0.0997;0.283;105.79;1
The Weeknd;93.0;0.68;0.826;-5.487;0.0309;0.0212;1.24e-05;0.543;0.644;118.051;9
SOJA;35.0;0.812;0.645;-5.044;0.0377;0.499;;0.0793;0.724;139.974;10
Best Friends Club;20.0;0.814;0.569;-13.422;0.0796;0.554;0.821;0.132;0.514;120.005;9
Van Halen;69.0;0.552;0.947;-4.671;0.15;0.000652;0.00025;0.0637;0.465;127.631;10
Johnny Adams;12.0;0.916;0.537;-9.303;0.0358;0.241;0.000685;0.0549;0.908;106.951;2
Olivia Lunny;56.0;0.643;0.648;-5.734;0.0428;0.0139;;0.162;0.552;139.997;9
Rand Aldo;42.0;0.211;0.109;-18.827;0.0371;0.882;0.937;0.0965;0.144;106.225;7
Merle Haggard;35.0;0.659;0.281;-13.564;0.0268;0.189;;0.112;0.518;108.287;4
MOSSS;54.0;0.761;0.6;-7.348;0.0765;0.269;0.864;0.108;0.557;96.015;6
The Sounds;47.0;0.475;0.807;-3.959;0.0332;0.0136;6.74e-05;0.109;0.731;145.179;10
The Lumineers;75.0;0.682;0.471;-9.182;0.0301;0.765;;0.0908;0.421;79.907;9
Charlotte Day Wilson;63.0;0.683;0.486;-9.726;0.11;0.822;0.0227;0.276;0.279;126.985;6
Lower Than Atlantis;45.0;0.561;0.823;-4.851;0.097;0.0029;0.00017;0.492;0.525;93.504;1
Jeris Johnson;54.0;0.625;0.778;-7.207;0.0642;0.00921;;0.103;0.961;160.039;1
Andi;65.0;0.522;0.531;-6.459;0.215;0.093;;0.43;0.149;94.225;9
Elton John;80.0;0.601;0.532;-9.119;0.0286;0.432;6.25e-06;0.0925;0.341;136.571;10
The Ben Webster Quintet;40.0;0.529;0.0582;-19.131;0.0617;0.883;0.125;0.116;0.357;93.486;7
The Allergies;30.0;0.731;0.647;-7.937;0.0355;0.00487;;0.34;0.879;108.017;2
Kings of Leon;58.0;0.293;0.778;-5.581;0.034;0.0147;0.227;0.102;0.24;147.882;10
Shubha Mudgal;1.0;0.276;0.659;-6.642;0.0352;0.00219;4.4e-05;0.146;0.309;81.611;0
Zara Larsson;34.0;0.619;0.631;-6.018;0.104;0.131;1.18e-06;0.246;0.772;106.309;9
